user_id,item_id,rating
AZ333258XRAOO,0393326012,4.0
AZ333258XRAOO,1983512540,5.0
AZ333258XRAOO,B000892S62,4.0
AZ333258XRAOO,B0006F30RO,4.0
AZ333258XRAOO,0873499530,5.0
AZ333258XRAOO,0306811677,5.0
AZ333258XRAOO,B000856J2U,5.0
AZ333258XRAOO,1882391055,5.0
AZ333258XRAOO,0743479602,5.0
A3I90983ZVV33Q,0470049316,5.0
A3I90983ZVV33Q,0316021245,4.0
A3I90983ZVV33Q,1601940041,5.0
A1TCKGRAM59ZXJ,1573244724,5.0
A1TCKGRAM59ZXJ,0061284890,5.0
A1TCKGRAM59ZXJ,0020446519,5.0
A1TCKGRAM59ZXJ,0985902000,4.0
A1TCKGRAM59ZXJ,0439321719,5.0
A1TCKGRAM59ZXJ,9657344166,5.0
A1XMAE4VTY2R3E,0759903956,5.0
A1XMAE4VTY2R3E,1603181725,5.0
A1XMAE4VTY2R3E,0061087122,5.0
A1XMAE4VTY2R3E,1592861520,5.0
A1XMAE4VTY2R3E,0441006523,5.0
A1XMAE4VTY2R3E,0886778344,5.0
A1XMAE4VTY2R3E,1582005176,5.0
A1XMAE4VTY2R3E,0441008291,5.0
A1XMAE4VTY2R3E,0886778530,5.0
A3H3CN5312XCU2,0965081958,5.0
A3H3CN5312XCU2,0740701991,5.0
A3H3CN5312XCU2,0385334222,4.0
A3H3CN5312XCU2,0316796883,4.0
A3H3CN5312XCU2,0764532286,5.0
A3H3CN5312XCU2,0788838083,5.0
A3K45IYOT7TOHE,0517455951,4.0
A3K45IYOT7TOHE,1857880870,4.0
A3K45IYOT7TOHE,086531862X,5.0
A3HYTFCWY87M1O,0879109548,5.0
A3HYTFCWY87M1O,0911572740,4.0
A3HYTFCWY87M1O,0813054532,5.0
A3HYTFCWY87M1O,019502348X,5.0
A3HYTFCWY87M1O,0306800322,5.0
A3HYTFCWY87M1O,0801849071,5.0
A3HYTFCWY87M1O,1593932685,5.0
A3HYTFCWY87M1O,0810916746,5.0
A3HYTFCWY87M1O,1629331066,5.0
A3HYTFCWY87M1O,0851707483,5.0
A3HYTFCWY87M1O,0520234340,4.0
A3HYTFCWY87M1O,0912646691,4.0
A3HYTFCWY87M1O,1879511355,5.0
A3HYTFCWY87M1O,0911572635,5.0
A3HYTFCWY87M1O,0691032343,4.0
A3HYTFCWY87M1O,1629331325,5.0
A3HYTFCWY87M1O,0786429089,4.0
A3HYTFCWY87M1O,0851707467,5.0
A3HYTFCWY87M1O,1860646565,5.0
A3HYTFCWY87M1O,0786412097,4.0
